<msfs>\Official\OneStore\microsoft-airport-ensb-svalbard\scenery\microsoft\Svalbard-Airport\objects.bgl;ENSB;10;09
<msfs>\Official\OneStore\microsoft-airport-ensb-svalbard\scenery\microsoft\Svalbard-Airport\objects.bgl;ENSB;28;27
<msfs>\Official\OneStore\fs-base-genericairports\scenery\0202\APX18200.bgl;KTUS;03;04
<msfs>\Official\OneStore\fs-base-genericairports\scenery\0202\APX18200.bgl;KTUS;21;22
<msfs>\Official\OneStore\fs-base-genericairports\scenery\0202\APX18200.bgl;KTUS;29R;30
<msfs>\Official\OneStore\fs-base-genericairports\scenery\0202\APX18200.bgl;KTUS;11L;12
<msfs>\Official\OneStore\microsoft-airport-mdpp-puerto-plata\scenery\Microsoft\PuertoPlata\MDPP_Scene.bgl;MDPP;01;08
<msfs>\Official\OneStore\microsoft-airport-mdpp-puerto-plata\scenery\Microsoft\PuertoPlata\MDPP_Scene.bgl;MDPP;19;26
<msfs>\Official\OneStore\fs-base-genericairports\scenery\0600\APX51070.bgl;ENSH;01;36
<msfs>\Official\OneStore\fs-base-genericairports\scenery\0600\APX51070.bgl;ENSH;19;18
<msfs>\Official\OneStore\fs-base-genericairports\scenery\1105\APX93470.bgl;NZWF;11R;11
<msfs>\Official\OneStore\fs-base-genericairports\scenery\1105\APX93470.bgl;NZWF;29L;29
